output,relative_path,sha256
metadata,data/panel_ready/figS02_metadata.csv,41d9f80ede030e182817338dcb4624b8ab98ac113d8cd6b89dc82f0dbc9637e0
fixed_seed_matrix,data/panel_ready/figS02_fixed_seed_matrix.csv,4174fc5b210424a5e0d3f8044554ab7300d1ad61a0bc502b852eddfdbfdac3da
subsampling_partition,data/panel_ready/figS02_subsampling_partition.csv,6c38cb064c967f3bcb56b99b0a8d8f92f28e0072bd23b07f6452b33b7b5a3a25
cluster_count_distribution,data/panel_ready/figS02_cluster_count_distribution.csv,8c813da291578644c46c65905f1ca0ba8b709af410304c65f500088c652ad714
resolution_summary,data/panel_ready/figS02_resolution_summary.csv,91f14846e3ef3f16bf19fae75819bc315c66ec0e0c0e3fa61d9d871554cd6e17
A_csv,outputs/tableS2/TableS2A_fixed_stored_graph_seed_results.csv,03305656cba763dd2b1872b1d8b0fbd0d5bf1e151893833e708d750ee583abbd
A_tsv,outputs/tableS2/TableS2A_fixed_stored_graph_seed_results.tsv,91c38a67b8bafcd6e10a75b56be735da30ec44f720c3b93ba41beb147d9f6022
B_csv,outputs/tableS2/TableS2B_fixed_stored_graph_pairwise_ari.csv,cbacdba08c9d42ce0b916d006acd72089bb02bb62f94905dc0a8815f41967dde
B_tsv,outputs/tableS2/TableS2B_fixed_stored_graph_pairwise_ari.tsv,91a7ba2c5050289f395473be9248992edaed68b9122874347d789a00aeb5e2f8
C_csv,outputs/tableS2/TableS2C_subsampling_submitted_partition_jaccard.csv,2d7b63255161ffe4128fd78ec2ab7c8c9e510bf5f75801e01461feaf0e706ef6
C_tsv,outputs/tableS2/TableS2C_subsampling_submitted_partition_jaccard.tsv,66ff148adc8bc5c11320e43be6b8a633c76a4c367c12a7146cc9c948d6565a9d
D_csv,outputs/tableS2/TableS2D_subsampling_cluster_count_distribution.csv,8c813da291578644c46c65905f1ca0ba8b709af410304c65f500088c652ad714
D_tsv,outputs/tableS2/TableS2D_subsampling_cluster_count_distribution.tsv,758647df39c5d0e21308b4e2ff802cd8f254524f0a05e1b30e4c5cc120cbdf9b
E_csv,outputs/tableS2/TableS2E_resolution_sweep_summary.csv,3fe1fa057f627d1ab4f93461c12c02401443603832444cb38d392af804199c8c
E_tsv,outputs/tableS2/TableS2E_resolution_sweep_summary.tsv,d695cb30e44aa2ef57c624f58031362c629bccfe92711ddda9c3d5d3aa81c276
F_csv,outputs/tableS2/TableS2F_resolution_sweep_per_partition.csv,6109b09dcc5805920de03fa85a26a701ba06f575a828c128821126cbe84229d5
F_tsv,outputs/tableS2/TableS2F_resolution_sweep_per_partition.tsv,176c61b84d696705b410abc0af72bab20bf3b5797137d905116d730280ee3f3f
dictionary_csv,outputs/tableS2/TableS2_data_dictionary.csv,7622ae07778a6f52a0065a9c113a8ca981889266ba4efb0755ebcbbdd0637584
dictionary_tsv,outputs/tableS2/TableS2_data_dictionary.tsv,44a53fe913e0f7d06c722ac76bf27d18a59277e108ae15539709631307dfe55a
